"No.","Time","Source","Destination","Protocol","Length","Info"
"1454","0.036000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=300161 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1455","0.036000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=300697 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1456","0.036000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=300697 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1457","0.036000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=301233 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1458","0.036000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=301233 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1459","0.036000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=301769 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1460","0.036000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=301769 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1461","0.036000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=302305 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1462","0.036000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=302305 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1463","0.036000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=302841 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1464","0.036000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=302841 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1465","0.036000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=303377 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1466","0.036000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=303377 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1467","0.036000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=303913 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1468","0.036000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=303913 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1469","0.036000","49.44.80.47","116.50.76.245","SSLv2","590","Encrypted Data [TCP segment of a reassembled PDU]"
"1470","0.036000","49.44.80.47","10.64.43.166","SSLv2","590","Encrypted Data [TCP segment of a reassembled PDU]"
"1471","0.036000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=304985 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1472","0.036000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=304985 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1473","0.036000","10.64.43.166","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=249777 Win=65392 Len=0"
"1474","0.036000","116.50.76.245","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=249777 Win=65392 Len=0"
"1475","0.036000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=305521 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1476","0.036000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=305521 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1477","0.036000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=306057 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1478","0.036000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=306057 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1479","0.036000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=306593 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1480","0.036000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=306593 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1481","0.036000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=307129 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1482","0.036000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=307129 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1483","0.036000","10.64.43.166","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=255137 Win=65392 Len=0"
"1484","0.036000","116.50.76.245","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=255137 Win=65392 Len=0"
"1485","0.036000","10.64.43.166","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=260497 Win=65392 Len=0"
"1486","0.036000","116.50.76.245","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=260497 Win=65392 Len=0"
"1487","0.036000","10.64.43.166","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=265857 Win=65392 Len=0"
"1488","0.036000","116.50.76.245","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=265857 Win=65392 Len=0"
"1489","0.036000","10.64.43.166","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=271217 Win=65392 Len=0"
"1490","0.036000","116.50.76.245","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=271217 Win=65392 Len=0"
"1491","0.036000","10.64.43.166","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=276577 Win=65392 Len=0"
"1492","0.036000","116.50.76.245","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=276577 Win=65392 Len=0"
"1493","0.036000","10.64.43.166","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=280865 Win=64320 Len=0"
"1494","0.036000","116.50.76.245","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=280865 Win=64320 Len=0"
"1495","0.036000","10.64.43.166","49.44.80.47","TCP","60","[TCP Window Update] 64435  >  443 [ACK] Seq=1 Ack=280865 Win=65392 Len=0"
"1496","0.036000","116.50.76.245","49.44.80.47","TCP","60","[TCP Window Update] 64435  >  443 [ACK] Seq=1 Ack=280865 Win=65392 Len=0"
"1497","0.036000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=307665 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1498","0.036000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=307665 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1499","0.036000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=308201 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1500","0.036000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=308201 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1501","0.036000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=308737 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1502","0.036000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=308737 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1503","0.036000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=309273 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1504","0.036000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=309273 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
